,AUS,CAN,DEN,FIN,GER,ITA,NZL,NOR,SCO,SWE,SUI,USA
AUS,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1
CAN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
DEN,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
FIN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GER,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
ITA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NZL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1
NOR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SCO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SWE,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SUI,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1
USA,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
